feature,correlation,p_value,n,significant
fix_in_description,-0.569,0.001,30,True
score_aggregate,0.474,0.0167,25,True
problem_clarity,-0.384,0.0249,34,True
fix_complexity,0.335,0.0456,36,True
reproduction_steps,0.287,0.1179,31,False
domain_knowledge_required,0.237,0.1923,32,False
fix_locality,0.108,0.5579,32,False
error_message_provided,0.051,0.8138,24,False
agent_looping,,,17,False
agent_declared_success_wrongly,,,17,False
agent_expressed_uncertainty,,,17,False
agent_wrong_file_focus,,,17,False
agent_gave_up_early,,,17,False
