,theta,theta_std
claude-opus-4.6,1.3097167015075684,0.2626341
gpt-5.2,0.7478287816047668,0.23739357
claude-opus-4.5,0.5700734853744507,0.30669376
gemini-3-pro,-0.031584691256284714,0.2633348
claude-sonnet-4.5,-0.52782142162323,0.3183799
gpt-5.1,-0.6354045271873474,0.28641844
gemini-3-flash,-1.0972071886062622,0.43871987
o3,-1.1502413749694824,0.3223444
gpt-5,-1.4786102771759033,0.46207374
claude-opus-4,-1.6344207525253296,0.3572052
kimi-k2,-1.9514436721801758,0.4664426
qwen3-coder,-2.129784345626831,0.45816183
gemini-2.5-pro,-2.394601821899414,0.5506208
claude-sonnet-4,-2.413921594619751,0.46104226
glm-4.5,-2.6607933044433594,0.6918457
